alpha,V0,EPS,xi_w,window_type,window_safe,ceiling,P,kz_peak,gamma_peak,kz_hat,gamma_hat
0.2,0.03,0.1,8.0,xi_sponge,True,0.05646216173286172,0.5646216173286172,2.479896588209169,0.049124350210937875,1.3176416800735973,0.8700401951196789
0.2,0.03,0.15,8.0,xi_sponge,True,0.05646216173286172,0.37641441155241145,2.335098108455327,0.051577087087912046,1.2407060074160796,0.9134805594574589
0.2,0.03,0.225,8.0,xi_sponge,True,0.05646216173286172,0.25094294103494097,2.1902996287014846,0.05337116779864053,1.163770334758562,0.9452554801418064
0.2,0.03,0.3,8.0,xi_sponge,True,0.05646216173286172,0.18820720577620573,2.1323802367999476,0.054293354249322134,1.1329960656955549,0.9615883023784881
0.2,0.03,0.45,8.0,xi_sponge,True,0.05646216173286172,0.12547147051747048,2.0455011489476425,0.05590449622147154,1.0868346621010445,0.9901231994263937
0.2,0.05,0.1,8.0,xi_sponge,True,0.07937005259840998,0.7937005259840998,2.135899232305816,0.06739936002816455,1.3455322016181988,0.8491787244892761
0.2,0.05,0.15,8.0,xi_sponge,True,0.07937005259840998,0.5291336839894,2.029651388232249,0.07124242239509941,1.278600253991081,0.8975982762108766
0.2,0.05,0.225,8.0,xi_sponge,True,0.07937005259840998,0.3527557893262666,1.8968415831402903,0.07412827087903251,1.1949353194571841,0.9339576887280218
0.2,0.05,0.3,8.0,xi_sponge,True,0.07937005259840998,0.2645668419947,2.374956881471342,0.07604303433964778,1.4961290837792138,0.9580821966240091
0.2,0.05,0.45,8.0,xi_sponge,True,0.07937005259840998,0.1763778946631333,1.7374698170299396,0.07837468165604361,1.0945373980165074,0.9874591119725891
0.2,0.1,0.1,5.0,xi_cut,True,0.12599210498948735,1.2599210498948734,1.9293494669830236,0.08977498347243622,1.5313256867515683,0.7125445160228647
0.2,0.1,0.15,5.0,xi_cut,True,0.12599210498948735,0.8399473665965823,1.827570711408295,0.09850278986378573,1.4505438349178992,0.7818171612578796
0.2,0.1,0.225,5.0,xi_cut,True,0.12599210498948735,0.5599649110643882,1.7257919558335661,0.10601142900050621,1.3697619830842296,0.8414132695802781
0.2,0.1,0.3,5.0,xi_cut,True,0.12599210498948735,0.41997368329829116,1.6494578891525196,0.11047432650212481,1.3091755942089776,0.8768353105247562
0.2,0.1,0.45,5.0,xi_cut,True,0.12599210498948735,0.2799824555321941,1.5731238224714732,0.11550950541988964,1.2485892053337257,0.916799552079296
0.25,0.03,0.1,8.0,xi_sponge,True,0.06082201995573401,0.6082201995573401,2.6213115066198887,0.053467080778716015,1.292942017641473,0.8790744013044801
