alpha,V0,EPS,kz,tier,group,stream,gamma_theory,kz_peak_theory,status,gamma_sim,r2,t0,t1
0.4,0.1,0.45,2.0,int,magnitude_check,abi0,0.148544754036774,1.9450364585597584,OK,0.13026,0.9819,0.0,63.93
0.4,0.1,0.1,3.0,half,cascade_anchor,abi0,0.1198303738282103,2.3687955731996984,OK,0.10427,0.9804,3.0,63.98
0.2,0.1,0.225,1.75,quarter,magnitude_check,abi0,0.1060114290005062,1.725791955833566,OK,0.09619,0.9826,5.99,63.93
0.4,0.1,0.15,2.25,quarter,magnitude_check,abi0,0.1299865854723321,2.236370849874717,OK,0.1165,0.9801,2.0,63.93
0.2,0.03,0.45,1.0,int,cascade_anchor,abi0,0.0559044962214715,2.0455011489476425,OK,0.03919,0.9836,0.0,320.66
0.3,0.05,0.1,2.5,half,magnitude_check,abi0,0.0787951011757746,2.4245467269228205,OK,0.05537,0.9941,0.0,218.94
0.2,0.03,0.1,2.5,half,magnitude_check,abi0,0.0491243502109378,2.479896588209169,OK,0.03471,0.9932,0.0,336.91
0.4,0.03,0.15,2.75,quarter,magnitude_check,abi0,0.0663963267333562,2.85301484451041,OK,0.04914,0.9839,0.0,254.73
0.3,0.03,0.45,2.25,quarter,magnitude_check,abi0,0.0641324371956557,2.276253911516674,OK,0.05098,0.9817,0.0,246.74
0.25,0.1,0.1,2.0,int,magnitude_check,abi1,0.0985830090122306,2.052930175395406,OK,0.08294,0.9812,6.0,63.98
0.4,0.1,0.1,2.0,int,cascade_anchor,abi1,0.1198303738282103,2.3687955731996984,OK,0.10271,0.9812,4.0,63.98
0.25,0.1,0.3,1.75,quarter,magnitude_check,abi1,0.1201739538239525,1.7696125764046997,OK,0.10808,0.9811,3.0,63.93
0.4,0.1,0.1,2.5,quarter,cascade_anchor,abi1,0.1198303738282103,2.3687955731996984,OK,0.10442,0.9803,3.0,63.98
0.2,0.03,0.45,4.0,int,cascade_anchor,abi1,0.0559044962214715,2.0455011489476425,OK,0.04097,0.982,0.0,312.66
0.4,0.03,0.45,2.5,half,magnitude_check,abi1,0.070669490159111,2.481155581008923,OK,0.05715,0.9843,0.0,218.77
0.4,0.05,0.3,2.25,quarter,magnitude_check,abi1,0.0983838252053997,2.202024911095616,OK,0.07512,0.981,0.0,163.82
0.3,0.05,0.225,2.25,quarter,magnitude_check,abi1,0.0857639342447785,2.1703789276721013,OK,0.06723,0.9842,73.92,169.82
0.25,0.03,0.45,2.25,quarter,magnitude_check,abi1,0.0603012572682395,2.134888633467092,OK,0.04773,0.9813,0.0,264.72
