alpha,V0,EPS,kz,tier,xi_w,window_type,kz_peak_theory,gamma_peak_theory,P,group,target_tu,cost,stream
0.4,0.1,0.45,2.0,int,5.0,xi_cut,1.9450364585597584,0.148544754036774,0.3527557893262666,magnitude_check,65.0,56.55,abi0
0.4,0.1,0.1,3.0,half,5.0,xi_cut,2.3687955731996984,0.1198303738282103,1.5874010519681996,cascade_anchor,65.0,113.1,abi0
0.2,0.1,0.225,1.75,quarter,5.0,xi_cut,1.725791955833566,0.1060114290005062,0.5599649110643882,magnitude_check,65.0,226.2,abi0
0.4,0.1,0.15,2.25,quarter,5.0,xi_cut,2.236370849874717,0.1299865854723321,1.0582673679788,magnitude_check,65.0,226.2,abi0
0.2,0.03,0.45,1.0,int,8.0,xi_sponge,2.0455011489476425,0.0559044962214715,0.1254714705174704,cascade_anchor,400.0,348.0,abi0
0.3,0.05,0.1,2.5,half,8.0,xi_sponge,2.4245467269228205,0.0787951011757746,0.90856029641607,magnitude_check,353.6,615.264,abi0
0.2,0.03,0.1,2.5,half,8.0,xi_sponge,2.479896588209169,0.0491243502109378,0.5646216173286172,magnitude_check,400.0,696.0,abi0
0.4,0.03,0.15,2.75,quarter,8.0,xi_sponge,2.85301484451041,0.0663963267333562,0.4742524405986751,magnitude_check,359.1,1249.6680000000001,abi0
0.3,0.03,0.45,2.25,quarter,8.0,xi_sponge,2.276253911516674,0.0641324371956557,0.1436289793354589,magnitude_check,400.0,1392.0,abi0
0.25,0.1,0.1,2.0,int,5.0,xi_cut,2.052930175395406,0.0985830090122306,1.3572088082974534,magnitude_check,65.0,56.55,abi1
0.4,0.1,0.1,2.0,int,5.0,xi_cut,2.3687955731996984,0.1198303738282103,1.5874010519681996,cascade_anchor,65.0,56.55,abi1
0.25,0.1,0.3,1.75,quarter,5.0,xi_cut,1.7696125764046997,0.1201739538239525,0.4524029360991511,magnitude_check,65.0,226.2,abi1
0.4,0.1,0.1,2.5,quarter,5.0,xi_cut,2.3687955731996984,0.1198303738282103,1.5874010519681996,cascade_anchor,65.0,226.2,abi1
0.2,0.03,0.45,4.0,int,8.0,xi_sponge,2.0455011489476425,0.0559044962214715,0.1254714705174704,cascade_anchor,400.0,348.0,abi1
0.4,0.03,0.45,2.5,half,8.0,xi_sponge,2.481155581008923,0.070669490159111,0.158084146866225,magnitude_check,342.4,595.776,abi1
0.4,0.05,0.3,2.25,quarter,8.0,xi_sponge,2.202024911095616,0.0983838252053997,0.3333333333333334,magnitude_check,251.7,875.9159999999999,abi1
0.3,0.05,0.225,2.25,quarter,8.0,xi_sponge,2.1703789276721013,0.0857639342447785,0.4038045761849199,magnitude_check,335.5,1167.54,abi1
0.25,0.03,0.45,2.25,quarter,8.0,xi_sponge,2.134888633467092,0.0603012572682395,0.1351600443460755,magnitude_check,400.0,1392.0,abi1
0.2,0.1,0.1,2.0,int,5.0,xi_cut,1.929349466983024,0.0897749834724362,1.2599210498948734,magnitude_check,65.0,56.55,abi2
0.3,0.1,0.15,2.0,int,5.0,xi_cut,2.045847717230856,0.11593150344216,0.9614997135382723,magnitude_check,65.0,56.55,abi2
0.3,0.1,0.1,2.25,quarter,5.0,xi_cut,2.175981609783816,0.1063700975137056,1.4422495703074083,magnitude_check,65.0,226.2,abi2
0.3,0.05,0.45,2.0,int,8.0,xi_sponge,2.000933728171622,0.089943005987514,0.2019022880924599,magnitude_check,316.4,275.268,abi2
0.2,0.05,0.15,2.0,int,8.0,xi_sponge,2.029651388232249,0.0712424223950994,0.5291336839894,magnitude_check,400.0,348.0,abi2
0.25,0.03,0.1,2.5,half,8.0,xi_sponge,2.6213115066198887,0.053467080778716,0.6082201995573401,magnitude_check,400.0,696.0,abi2
0.2,0.03,0.45,1.5,half,8.0,xi_sponge,2.0455011489476425,0.0559044962214715,0.1254714705174704,cascade_anchor,400.0,696.0,abi2
0.3,0.05,0.3,2.25,quarter,8.0,xi_sponge,2.339824127172581,0.0887022225211242,0.30285343213869,magnitude_check,335.5,1167.54,abi2
0.25,0.05,0.1,2.25,quarter,8.0,xi_sponge,2.289150565765579,0.0734678483234372,0.8549879733383486,magnitude_check,400.0,1392.0,abi2
0.25,0.1,0.15,2.0,int,5.0,xi_cut,1.94990559394424,0.1077683242110758,0.9048058721983024,magnitude_check,65.0,56.55,t126
0.4,0.1,0.3,2.0,int,5.0,xi_cut,2.050976237219744,0.143249092509377,0.5291336839894,magnitude_check,65.0,56.55,t126
0.4,0.1,0.1,1.0,int,5.0,xi_cut,2.3687955731996984,0.1198303738282103,1.5874010519681996,cascade_anchor,65.0,56.55,t126
0.2,0.1,0.3,1.75,quarter,5.0,xi_cut,1.6494578891525196,0.1104743265021248,0.4199736832982911,magnitude_check,65.0,226.2,t126
0.4,0.1,0.1,2.25,quarter,5.0,xi_cut,2.3687955731996984,0.1198303738282103,1.5874010519681996,magnitude_check,65.0,226.2,t126
0.4,0.1,0.1,2.0,quarter,5.0,xi_cut,2.3687955731996984,0.1198303738282103,1.5874010519681996,cascade_anchor,65.0,226.2,t126
0.4,0.03,0.1,3.0,int,8.0,xi_sponge,3.022041782465631,0.0637960276587286,0.7113786608980127,magnitude_check,375.0,326.25,t126
0.2,0.03,0.45,3.0,int,8.0,xi_sponge,2.0455011489476425,0.0559044962214715,0.1254714705174704,cascade_anchor,400.0,348.0,t126
0.4,0.05,0.1,2.5,half,8.0,xi_sponge,2.622461045793133,0.0879315473458838,1.0000000000000002,magnitude_check,265.3,461.622,t126
0.25,0.03,0.15,2.5,half,8.0,xi_sponge,2.4693043587596395,0.0559729404876863,0.4054801330382268,magnitude_check,400.0,696.0,t126
0.3,0.03,0.15,2.5,half,8.0,xi_sponge,2.6245163025586025,0.0598205597314036,0.4308869380063768,magnitude_check,400.0,696.0,t126
0.3,0.05,0.15,2.25,quarter,8.0,xi_sponge,2.2833423940057544,0.0828159294301038,0.60570686427738,magnitude_check,335.5,1167.54,t126
0.2,0.03,0.15,2.25,quarter,8.0,xi_sponge,2.335098108455327,0.051577087087912,0.3764144115524114,magnitude_check,400.0,1392.0,t126
0.2,0.05,0.45,1.75,quarter,8.0,xi_sponge,1.7374698170299396,0.0783746816560436,0.1763778946631333,magnitude_check,400.0,1392.0,t126
0.25,0.05,0.15,2.25,quarter,8.0,xi_sponge,2.1532071947145406,0.0774119356326746,0.5699919822255658,magnitude_check,400.0,1392.0,t126
0.3,0.03,0.3,2.25,quarter,8.0,xi_sponge,2.371234563619018,0.0636673089229282,0.2154434690031884,magnitude_check,400.0,1392.0,t126
0.4,0.1,0.1,4.0,int,5.0,xi_cut,2.3687955731996984,0.1198303738282103,1.5874010519681996,cascade_anchor,65.0,56.55,t133
0.2,0.1,0.45,1.5,half,5.0,xi_cut,1.5731238224714732,0.1155095054198896,0.2799824555321941,magnitude_check,65.0,113.1,t133
0.4,0.1,0.1,2.0,half,5.0,xi_cut,2.3687955731996984,0.1198303738282103,1.5874010519681996,cascade_anchor,65.0,113.1,t133
0.25,0.1,0.225,1.75,quarter,5.0,xi_cut,1.846881012493074,0.1155790689385468,0.6032039147988681,magnitude_check,65.0,226.2,t133
0.25,0.1,0.45,1.75,quarter,5.0,xi_cut,1.6665879949535334,0.1253069634902579,0.3016019573994341,magnitude_check,65.0,226.2,t133
0.4,0.1,0.225,2.25,quarter,5.0,xi_cut,2.1304310712147325,0.1384052291045253,0.7055115786525332,magnitude_check,65.0,226.2,t133
0.25,0.05,0.45,2.0,int,8.0,xi_sponge,1.8813204526124632,0.0845479251699315,0.1899973274085219,magnitude_check,379.6,330.252,t133
0.2,0.03,0.45,2.0,int,8.0,xi_sponge,2.0455011489476425,0.0559044962214715,0.1254714705174704,magnitude_check,400.0,348.0,t133
0.4,0.03,0.3,2.5,half,8.0,xi_sponge,2.582571743782056,0.0702328145337154,0.2371262202993375,magnitude_check,342.4,595.776,t133
0.25,0.05,0.3,2.5,half,8.0,xi_sponge,2.3979052626064097,0.0827264402961012,0.2849959911127829,magnitude_check,400.0,696.0,t133
0.2,0.03,0.45,2.5,half,8.0,xi_sponge,2.0455011489476425,0.0559044962214715,0.1254714705174704,cascade_anchor,400.0,696.0,t133
0.4,0.05,0.225,2.25,quarter,8.0,xi_sponge,2.3521806734875863,0.0950367436284984,0.4444444444444445,magnitude_check,251.7,875.9159999999999,t133
0.2,0.03,0.225,2.25,quarter,8.0,xi_sponge,2.1902996287014846,0.0533711677986405,0.2509429410349409,magnitude_check,400.0,1392.0,t133
0.2,0.05,0.1,2.25,quarter,8.0,xi_sponge,2.135899232305816,0.0673993600281645,0.7937005259840998,magnitude_check,400.0,1392.0,t133
0.25,0.03,0.225,2.25,quarter,8.0,xi_sponge,2.34769864047144,0.057782705243815,0.2703200886921511,magnitude_check,400.0,1392.0,t133
0.3,0.03,0.1,2.75,quarter,8.0,xi_sponge,2.7828173893958423,0.0572751527157286,0.6463304070095651,magnitude_check,400.0,1392.0,t133
0.3,0.1,0.225,2.0,int,5.0,xi_cut,1.941740603188487,0.1239845433043257,0.640999809025515,magnitude_check,65.0,56.55,t140
0.4,0.1,0.1,3.0,int,5.0,xi_cut,2.3687955731996984,0.1198303738282103,1.5874010519681996,cascade_anchor,65.0,56.55,t140
0.2,0.1,0.15,1.75,quarter,5.0,xi_cut,1.827570711408295,0.0985027898637857,0.8399473665965823,magnitude_check,65.0,226.2,t140
0.3,0.1,0.3,1.75,quarter,5.0,xi_cut,1.863660267656711,0.1286808217338957,0.4807498567691362,magnitude_check,65.0,226.2,t140
0.3,0.1,0.45,1.75,quarter,5.0,xi_cut,1.7595531536143425,0.1338825816518661,0.3204999045127575,magnitude_check,65.0,226.2,t140
0.4,0.03,0.225,3.0,int,8.0,xi_sponge,3.022041782465631,0.0693951508026446,0.3161682937324501,magnitude_check,375.0,326.25,t140
0.25,0.05,0.225,2.0,int,8.0,xi_sponge,2.044452497873709,0.0803353632152814,0.3799946548170438,magnitude_check,379.6,330.252,t140
0.2,0.05,0.225,2.0,int,8.0,xi_sponge,1.8968415831402905,0.0741282708790325,0.3527557893262666,magnitude_check,400.0,348.0,t140
0.4,0.05,0.15,2.5,half,8.0,xi_sponge,2.4723052834011625,0.0920604665827768,0.6666666666666669,magnitude_check,265.3,461.622,t140
0.25,0.03,0.3,2.5,half,8.0,xi_sponge,2.590910077047839,0.0594808928794121,0.2027400665191134,magnitude_check,400.0,696.0,t140
0.3,0.03,0.225,2.5,half,8.0,xi_sponge,2.49787543308881,0.0616396172339505,0.2872579586709178,magnitude_check,400.0,696.0,t140
0.4,0.05,0.45,2.25,quarter,8.0,xi_sponge,2.1419626061388275,0.0991564943297942,0.2222222222222222,magnitude_check,251.7,875.9159999999999,t140
