alpha,V0,kz,EPS,k_mode,xi_sponge,gamma_wkb,gamma_eig_real,gamma_eig_outer,outer_xi_peak,xi_char,xi_crit,sponge_safe,n_real,n_outer,target_tu,nx_override,lx_override,edge_xi,wrap_buffer,bp,cost_a5000,hunt_seconds,seed_file,tier,stream,status,gamma_sim,r2,n_efold
1.0,0.05,1.0,0.1,1,8.0,0.217961435994962,0.0614524626051526,,,4.47213595499958,20.0,True,6,0,100.0,1152,-1.0,94.2477796076938,86.24777960769379,14,87.0,19.4,eigenmode_seed_kz1_a1.00_V0.050_EPS0.100_sp8.0.bin,int,t126,ok,0.061302423589121906,0.9999995895121332,2.5115040535187916
1.0,0.05,1.0,0.15,1,8.0,0.217961435994962,0.0737064019512666,,,4.47213595499958,20.0,True,6,0,100.0,-1,-1.0,62.83185307179586,54.83185307179586,14,87.0,16.9,eigenmode_seed_kz1_a1.00_V0.050_sp8.0.bin,int,t140,ok,0.0926306297649351,0.9999999975395882,2.590706805669404
1.0,0.05,1.0,0.225,1,8.0,0.217961435994962,0.0855911553578537,,,4.47213595499958,20.0,True,7,0,100.0,-1,-1.0,41.88790204786391,33.88790204786391,14,87.0,23.1,eigenmode_seed_kz1_a1.00_V0.050_EPS0.225_sp8.0.bin,int,t126,ok,0.061302423589121906,0.9999995895121332,2.5115040535187916
1.0,0.05,1.0,0.3,1,8.0,0.217961435994962,0.0931925846631845,,,4.47213595499958,20.0,True,8,0,100.0,1536,37.69911184307752,62.83185307179586,54.83185307179586,14,87.0,34.4,eigenmode_seed_kz1_a1.00_V0.050_EPS0.300_sp8.0_lx37.6991.bin,int,t140,ok,0.0926306297649351,0.9999999975395882,2.590706805669404
1.0,0.05,1.0,0.45,1,10.0,0.217961435994962,0.1046493466360832,,,4.47213595499958,20.0,True,7,0,100.0,1536,37.69911184307752,41.88790204786391,31.88790204786391,14,87.0,33.2,eigenmode_seed_kz1_a1.00_V0.050_EPS0.450_sp10.0_lx37.6991.bin,int,t140,ok,0.1038439685491474,0.9999999989753567,2.59320646163782
1.0,0.05,2.0,0.1,2,8.0,0.1575661295879072,0.0881261898418657,,,3.162277660168379,40.0,True,8,0,100.0,1152,-1.0,94.2477796076938,86.24777960769379,14,87.0,21.3,eigenmode_seed_kz2_a1.00_V0.050_EPS0.100_sp8.0.bin,int,t126,ok,0.0882035342291997,0.9999999513393704,2.556544249376042
1.0,0.05,2.0,0.15,2,8.0,0.1575661295879072,0.1024116437720045,,,3.162277660168379,40.0,True,8,0,100.0,-1,-1.0,62.83185307179586,54.83185307179586,14,87.0,21.7,eigenmode_seed_kz2_a1.00_V0.050_sp8.0.bin,int,t140,ok,0.10220292399042023,0.9999999969970715,2.5521536898137533
1.0,0.05,2.0,0.225,2,8.0,0.1575661295879072,0.1137102756105012,,,3.162277660168379,40.0,True,8,0,100.0,-1,-1.0,41.88790204786391,33.88790204786391,14,87.0,33.5,eigenmode_seed_kz2_a1.00_V0.050_EPS0.225_sp8.0.bin,int,t126,ok,0.11332433555818677,0.9999999986862537,2.6035458306349497
1.0,0.05,2.0,0.3,2,13.0,0.1575661295879072,0.1260675652975141,,,3.162277660168379,40.0,True,8,0,100.0,1536,37.69911184307752,62.83185307179586,49.83185307179586,14,87.0,41.5,eigenmode_seed_kz2_a1.00_V0.050_EPS0.300_sp13.0_lx37.6991.bin,int,t126,ok,0.12524902359995774,0.999999999514206,2.502225420228579
1.0,0.05,2.0,0.45,2,13.0,0.1575661295879072,0.128785815317189,,,3.162277660168379,40.0,True,10,0,100.0,1536,37.69911184307752,41.88790204786391,28.88790204786391,14,87.0,47.4,eigenmode_seed_kz2_a1.00_V0.050_EPS0.450_sp13.0_lx37.6991.bin,int,t140,ok,0.11135425920925829,0.9999999993892764,2.558319584808846
1.0,0.05,3.0,0.1,3,8.0,0.1289655566266495,0.1007186194732999,,,2.581988897471611,60.0,True,7,0,116.3,1152,-1.0,94.2477796076938,86.24777960769379,14,101.18980866945164,18.1,eigenmode_seed_kz3_a1.00_V0.050_EPS0.100_sp8.0.bin,int,t140,ok,0.10056213037132357,0.9999999804399363,2.5130186109180634
1.0,0.05,3.0,0.15,3,8.0,0.1289655566266495,0.113756243667747,,,2.581988897471611,60.0,True,8,0,116.3,-1,-1.0,62.83185307179586,54.83185307179586,14,101.18980866945164,21.3,eigenmode_seed_kz3_a1.00_V0.050_sp8.0.bin,int,t126,ok,0.09665334717892052,0.9999999872271795,2.5100155182165977
1.0,0.05,3.0,0.225,3,8.0,0.1289655566266495,0.1229441478698439,,,2.581988897471611,60.0,True,8,0,116.3,-1,-1.0,41.88790204786391,33.88790204786391,14,101.18980866945164,20.0,eigenmode_seed_kz3_a1.00_V0.050_EPS0.225_sp8.0.bin,int,t126,ok,0.09665334717892052,0.9999999872271795,2.5100155182165977
1.0,0.05,3.0,0.3,3,8.0,0.1289655566266495,0.1273952030278196,,,2.581988897471611,60.0,True,9,0,116.3,1536,37.69911184307752,62.83185307179586,54.83185307179586,14,101.18980866945164,41.9,eigenmode_seed_kz3_a1.00_V0.050_EPS0.300_sp8.0_lx37.6991.bin,int,t140,ok,0.09278723771537785,0.9999999444450601,2.502575869215315
1.0,0.05,3.0,0.45,3,8.0,0.1289655566266495,0.1313014382763197,,,2.581988897471611,60.0,True,11,0,116.3,1536,37.69911184307752,41.88790204786391,33.88790204786391,14,101.18980866945164,54.2,eigenmode_seed_kz3_a1.00_V0.050_EPS0.450_sp8.0_lx37.6991.bin,int,t126,ok,0.09665334717892052,0.9999999872271795,2.5100155182165977
