alpha,V0,kz
0.3,0.03,1.0
0.3,0.03,2.0
0.3,0.03,3.0
0.3,0.03,4.0
0.3,0.03,5.0
0.3,0.03,6.0
0.3,0.03,7.0
0.3,0.03,9.0
0.4,0.03,3.0
0.4,0.03,4.0
0.4,0.03,5.0
0.4,0.03,6.0
0.4,0.03,7.0
0.5,0.03,4.0
0.5,0.03,5.0
0.5,0.03,6.0
0.5,0.03,7.0
0.5,0.03,8.0
0.5,0.03,9.0
0.6,0.03,8.0
0.6,0.03,9.0
0.7,0.03,7.0
0.7,0.03,8.0
0.7,0.03,9.0
0.8,0.03,8.0
0.8,0.03,9.0
0.9,0.03,7.0
0.3,0.04,3.0
0.3,0.04,4.0
0.3,0.04,5.0
0.3,0.04,6.0
0.3,0.04,7.0
0.4,0.04,3.0
0.4,0.04,4.0
0.4,0.04,5.0
0.4,0.04,7.0
0.4,0.04,9.0
0.5,0.04,4.0
0.5,0.04,5.0
0.5,0.04,6.0
0.5,0.04,7.0
0.5,0.04,9.0
0.6,0.04,6.0
0.6,0.04,7.0
0.6,0.04,8.0
0.6,0.04,9.0
0.7,0.04,7.0
0.8,0.04,9.0
0.3,0.05,2.0
0.3,0.05,7.0
0.3,0.05,8.0
0.3,0.05,9.0
0.4,0.05,3.0
0.4,0.05,4.0
0.4,0.05,5.0
0.4,0.05,7.0
0.4,0.05,8.0
0.4,0.05,9.0
0.5,0.05,5.0
0.5,0.05,6.0
0.5,0.05,9.0
0.8,0.05,9.0
0.3,0.07,2.0
0.3,0.07,3.0
0.3,0.07,5.0
0.3,0.07,6.0
0.3,0.07,7.0
0.3,0.07,8.0
0.3,0.07,9.0
0.4,0.07,4.0
0.4,0.07,5.0
0.4,0.07,6.0
0.4,0.07,7.0
0.4,0.07,9.0
0.5,0.07,6.0
0.5,0.07,7.0
0.5,0.07,9.0
0.6,0.07,9.0
0.3,0.08,3.0
0.3,0.08,4.0
0.3,0.08,5.0
0.3,0.08,7.0
0.3,0.08,9.0
0.4,0.08,4.0
0.4,0.08,5.0
0.4,0.08,6.0
0.4,0.08,7.0
0.4,0.08,8.0
0.4,0.08,9.0
0.5,0.08,7.0
0.5,0.08,8.0
0.5,0.08,9.0
0.3,0.1,4.0
0.3,0.1,6.0
0.3,0.1,7.0
0.3,0.1,8.0
0.4,0.1,6.0
0.4,0.1,7.0
0.5,0.1,9.0
3.5,0.2,1.0
3.5,0.2,2.0
4.0,0.2,1.0
4.0,0.2,2.0
4.0,0.2,3.0
4.0,0.2,4.0
4.0,0.2,5.0
4.0,0.2,6.0
4.0,0.2,7.0
4.0,0.2,8.0
4.0,0.2,9.0
4.5,0.2,1.0
4.5,0.2,2.0
4.5,0.2,3.0
4.5,0.2,4.0
4.5,0.2,5.0
4.5,0.2,6.0
4.5,0.2,7.0
4.5,0.2,8.0
4.5,0.2,9.0
5.0,0.2,1.0
5.0,0.2,2.0
5.0,0.2,3.0
5.0,0.2,4.0
5.0,0.2,5.0
5.0,0.2,6.0
5.0,0.2,7.0
5.0,0.2,8.0
5.0,0.2,9.0
5.5,0.2,1.0
5.5,0.2,2.0
5.5,0.2,3.0
5.5,0.2,4.0
5.5,0.2,5.0
5.5,0.2,6.0
5.5,0.2,7.0
5.5,0.2,8.0
5.5,0.2,9.0
6.0,0.2,1.0
6.0,0.2,2.0
6.0,0.2,3.0
6.0,0.2,4.0
6.0,0.2,5.0
6.0,0.2,6.0
6.0,0.2,7.0
6.0,0.2,8.0
6.0,0.2,9.0
