kz,alpha,V0,eps,xi_sponge,gamma_chased
3.0,1.7,0.03,0.15,8.0,0.09682671537501743
3.0,1.7,0.05,0.15,14.0,0.14992239499693974
3.0,1.8,0.1,0.15,8.0,0.21972596348050222
3.0,2.0,0.05,0.15,10.0,0.1506834970702777
2.0,2.6,0.03,0.15,10.0,0.09970819822619298
2.0,2.6,0.05,0.15,7.0,0.12848673245568737
3.0,1.4,0.1,0.15,8.0,0.20152989117358217
3.0,1.6,0.05,0.15,9.0,0.13768179276449327
2.0,1.7,0.05,0.15,8.0,0.11987325011866164
2.0,1.8,0.1,0.15,8.0,0.1905147785857308
2.0,2.1,0.05,0.15,10.0,0.13356278691955742
2.0,2.2,0.05,0.15,9.0,0.1320554363844224
1.0,0.9,0.1,0.15,10.0,0.11906544210403586
1.0,1.6,0.03,0.15,8.0,0.05775964414873937
1.0,1.7,0.03,0.15,8.0,0.058536101060419066
1.0,2.1,0.03,0.15,8.0,0.061102403289139975
2.0,1.3,0.1,0.15,8.0,0.17623050094316892
2.0,1.5,0.05,0.15,10.0,0.12289673399511929
2.0,1.6,0.03,0.15,18.0,0.09639246886715794
2.0,1.7,0.03,0.15,14.0,0.09519148935752593
1.0,2.7,0.01,0.15,14.0,0.03586321354061269
1.0,2.7,0.03,0.15,8.0,0.06366221177270025
1.0,2.8,0.05,0.15,6.0,0.07944169814801275
2.0,0.7,0.1,0.15,9.0,0.15035381112256374
1.0,2.1,0.05,0.15,5.0,0.07129494504364817
1.0,2.3,0.01,0.15,18.0,0.03669710916218418
1.0,2.3,0.03,0.15,8.0,0.0621093820013894
1.0,2.6,0.03,0.15,8.0,0.06332757002329636
3.0,2.2,0.05,0.15,9.0,0.15212500894575728
3.0,2.3,0.05,0.15,10.0,0.1570160612273983
3.0,2.4,0.03,0.15,18.0,0.11889536831509555
3.0,2.6,0.03,0.15,14.0,0.11961730212506885
6.0,2.8,0.03,0.15,8.0,0.12589918143520973
7.0,2.0,0.1,0.15,8.0,0.2217057517384805
7.0,2.1,0.05,0.15,10.0,0.1547635090606158
7.0,2.8,0.03,0.15,8.0,0.12501337945585916
5.0,2.7,0.03,0.15,8.0,0.12336941135764985
5.0,3.0,0.02,0.15,8.0,0.09774018195583334
6.0,2.0,0.1,0.15,8.0,0.23012403992399286
6.0,2.7,0.05,0.15,9.0,0.17404972320361617
4.0,2.6,0.05,0.15,12.0,0.17575340966980826
4.0,2.7,0.05,0.15,12.0,0.17784405573149037
4.0,3.0,0.02,0.15,8.0,0.09389386123937646
5.0,1.4,0.1,0.15,8.0,0.2016078246934367
7.0,2.8,0.05,0.15,8.0,0.17091541620198006
8.0,2.5,0.03,0.15,8.0,0.11727229848243347
8.0,2.7,0.05,0.15,9.0,0.1661535712323336
1.0,0.7,0.05,0.15,12.0,0.07793657786779655
3.0,2.7,0.05,0.15,9.0,0.1614284168610674
3.0,3.0,0.02,0.15,8.0,0.08666382268392543
4.0,1.4,0.05,0.15,8.0,0.13293483763256664
4.0,2.2,0.03,0.15,8.0,0.11191883346077267
2.0,2.3,0.05,0.15,8.0,0.1296313227335546
2.0,2.4,0.01,0.15,22.0,0.05011073069142402
2.0,2.4,0.03,0.15,10.0,0.09781206808220394
2.0,2.6,0.01,0.15,22.0,0.05106819537319093
6.0,2.6,0.03,0.15,8.0,0.12243647797446444
6.0,2.9,0.03,0.15,8.0,0.1275590967301069
7.0,2.4,0.03,0.15,8.0,0.11750903512415994
7.0,3.0,0.02,0.15,8.0,0.0995947733500806
5.0,1.7,0.05,0.15,8.0,0.14361459418120817
5.0,2.2,0.03,0.15,8.0,0.11469479751740334
5.0,2.4,0.03,0.15,8.0,0.11833670003332686
5.0,2.5,0.03,0.15,8.0,0.1200677491191732
2.0,2.8,0.03,0.15,8.0,0.09621188092690885
3.0,1.9,0.03,0.15,8.0,0.10025117646199465
