alpha,V0,kz,tier,xi_sponge,n_pts,amp0_log,gamma_r2,r2,t0,t1,gamma_plateau,plateau_t0,plateau_t1,has_plateau,gamma_sim,src,gamma_chased,ratio,rel_err
1.6,0.01,1.0,int,22.0,101,-13.360013001670483,0.042727604361629146,0.9999928438816789,75.91855112665026,88.90461908252463,0.0424081259430432,74.91962282235222,93.89926060401478,True,0.0424081259430432,t140/ym_k1_a1.600_circ_az2seed_v0.0100_sp22.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0351459197970136,1.2066301348199935,0.20663013481999348
1.7,0.01,1.0,int,22.0,101,-13.390325320302026,0.04306169436541549,0.9999920352333579,74.91962282235222,87.90569077822661,0.04277163679171467,74.91962282235222,92.90033229971677,True,0.04277163679171467,t130/ym_k1_a1.700_circ_az2seed_v0.0100_sp22.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0355965876728022,1.2015656440124065,0.2015656440124065
1.8,0.01,1.0,int,22.0,101,-13.418904466118693,0.043372984357635806,0.9999920060733176,74.91962282235222,87.90569077822661,0.04302961193318303,73.92069451805419,92.90033229971677,True,0.04302961193318303,t133/ym_k1_a1.800_circ_az2seed_v0.0100_sp22.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0360183112044171,1.1946593411605069,0.19465934116050684
1.9,0.01,1.0,int,22.0,101,-13.445937970949968,0.043657968941067736,0.9999923853522237,73.92069451805419,86.90676247392858,0.04334242729688604,72.92176621375616,91.90140399541872,True,0.04334242729688604,t130/ym_k1_a1.900_circ_az2seed_v0.0100_sp22.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0364135772793554,1.1902820468413284,0.1902820468413284
2.0,0.01,1.0,int,22.0,101,-13.471584622375744,0.0439229040319969,0.9999919699702439,73.92069451805419,86.90676247392858,0.043571418787244194,72.92176621375616,91.90140399541872,True,0.043571418787244194,t133/ym_k1_a2.000_circ_az2seed_v0.0100_sp22.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0367845179106053,1.1845042768572527,0.1845042768572527
2.1,0.01,1.0,int,22.0,101,-13.495979758708456,0.04417093770488369,0.9999916116154317,72.92176621375616,85.90783416963055,0.043852066858333746,71.92283790945814,90.9024756911207,True,0.043852066858333746,t140/ym_k1_a2.100_circ_az2seed_v0.0100_sp22.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0371329749372336,1.1809467712311637,0.1809467712311637
2.2,0.01,1.0,int,18.0,101,-13.519239763966523,0.04345530813870028,0.9999921202864701,73.92069451805419,86.90676247392858,0.043087016983778946,73.92069451805419,92.90033229971677,True,0.043087016983778946,t132/ym_k1_a2.200_circ_az2seed_v0.0100_sp18.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0363731345519162,1.1845835536192204,0.18458355361922046
2.3,0.01,1.0,int,18.0,101,-13.541465665468435,0.04369472628220904,0.9999926765917017,73.92069451805419,86.90676247392858,0.043363553329275877,72.92176621375616,91.90140399541872,True,0.043363553329275877,abi/ym_k1_a2.300_circ_az2seed_v0.0100_sp18.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0366971091621841,1.1816612893846543,0.18166128938465442
2.4,0.01,1.0,int,18.0,101,-13.562745508746149,0.043903893819125905,0.9999915184846365,73.92069451805419,86.90676247392858,0.04354671152918501,72.92176621375616,91.90140399541872,True,0.04354671152918501,t140/ym_k1_a2.400_circ_az2seed_v0.0100_sp18.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0370040024496038,1.1768108487316151,0.17681084873161507
2.5,0.01,1.0,int,18.0,101,-13.583156450342148,0.04411627472372145,0.9999924304362434,72.92176621375616,85.90783416963055,0.04379484013919549,71.92283790945814,90.9024756911207,True,0.04379484013919549,t130/ym_k1_a2.500_circ_az2seed_v0.0100_sp18.0_eps0.15_nkz0_bp14_hd5e-05_recorr,0.0372948605917767,1.1742862004115386,0.17428620041153858
